Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
Knight Squad,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Dead Island 2,2017.0,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0,Xbox One
Inside,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Tetris UltimateÊ,2014.0,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox One
Afro Samurai 2,2015.0,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0,Xbox One
The Legend of Korra (2014),2014.0,Action,Activision,0.0,0.0,0.0,0.0,0.0,Xbox One
Azito x Tatsunoko Legends,2016.0,Simulation,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Shooting Love Trilogy,2015.0,Shooter,Triangle Service,0.0,0.0,0.0,0.0,0.0,Xbox One
AirMech Arena,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
The Walking Dead: Season Three,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
King of Wushu,2015.0,Action,Snail Game,0.0,0.0,0.0,0.0,0.0,Xbox One
MercuryÊ,2015.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox One
Pneuma: Breath of Life,2016.0,Puzzle,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
The Escapists,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Superhot,2016.0,Shooter,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Spectra,2016.0,Racing,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Space Engineers,2016.0,Simulation,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
No Time to Explain,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Funk of Titans,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Fruit Ninja Kinect 2,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Blues and Bullets,2016.0,Action-Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Game 4,2016.0,Strategy,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Raiden V,2016.0,Action,Moss,0.0,0.0,0.0,0.0,0.0,Xbox One
Assassin's Creed Chronicles: China,2015.0,Action-Adventure,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox One
Pathologic,2015.0,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0,Xbox One
Geometry Wars 3: Dimensions,2016.0,Shooter,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Assassin's Creed: Victory,2015.0,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox One
The Banner Saga 2,2016.0,Role-Playing,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Gigantic,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Magic Duels: Origin,2016.0,Misc,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Shiftlings,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Oceanhorn: Monster of Uncharted Seas,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Beyond Eyes,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Inside My Radio,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Kaiju Panic,2016.0,Strategy,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Tembo the Badass Elephant,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Assassin's Creed Chronicles: Russia,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Assassin's Creed Chronicles: India,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Overlord: Fellowship of Evil,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
R.B.I. Baseball 15,2015.0,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0,Xbox One
The Walking Dead: Michonne,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Unravel,2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Tachyon Project,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,Xbox One
Goosebumps: The Game,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
The Escapists: The Walking Dead,2015.0,Action,Team17 Software,0.0,0.0,0.0,0.0,0.0,Xbox One
Woodcutter Simulator 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox One
Professional Farmer 2016,2015.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox One
Professional Lumberjack 2016,2015.0,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox One
Alekhine's Gun,2016.0,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0,Xbox One
World to the West,2017.0,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,Xbox One
The Binding of Isaac: Rebirth,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Super Dungeon Bros,2016.0,Action,Wired Productions,0.0,0.0,0.0,0.0,0.0,Xbox One
Pro Cycling Manager 2016,2016.0,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,Xbox One
De-formers,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Wonder Boy: The Dragon's Trap (Remake),2016.0,Platform,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Rock of Ages II: Bigger and Boulder,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Fe,2016.0,Action,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
We Sing (2016),2016.0,Music,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
Don Bradman Cricket 17,2016.0,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox One
Ace Combat 7: Skies Unknown,2019.0,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0,Xbox One
The Sexy Brutale,2016.0,Adventure,Xbox One,0.0,0.0,0.0,0.0,0.0,Xbox One
Metro Exodus,2019.0,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0,Xbox One
Anthem,2019.0,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0,Xbox One
AereA,2017.0,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0,Xbox One
Moons Of Madness,2018.0,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox One
Iron Harvest,2018.0,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox One
Biomutant,2018.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
Biomutant,2019.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
de Blob,2017.0,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox One
Outcast: Second Contact,2017.0,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0,Xbox One
Code Vein,2019.0,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox One
